2025-10-04 15:47:02|01|start
2025-10-04 15:47:16|02|data: id=0001, name=testA, value=sample1
2025-10-04 15:47:22|03|env: MAC
2025-10-04 15:47:47|04|hoge hoge hoge
2025-10-04 15:47:55|05|end
2025-10-04 15:48:02|01|start
2025-10-04 15:48:16|02|data: id=0002, name=testB, value=sample2
2025-10-04 15:48:22|03|env: MAC
2025-10-04 15:48:47|04|hoge hoge hoge
2025-10-04 15:48:55|05|end
2025-10-04 15:49:02|01|start
2025-10-04 15:49:16|02|data: id=0003, name=testC, value=sample3
2025-10-04 15:49:22|03|env: MAC
2025-10-04 15:49:47|04|hoge hoge hoge
2025-10-04 15:49:55|05|end
